institution,rank_2020,rank_2019,country,size,focus,research_intensity,age,status,academic_ reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citations_per_faculty_score,citations_per_faculty_rank,international_faculty_score,international_faculty_rank,international_students_score,international_students_rank,overall_score
Aalborg University,324,343,Denmark,L,FC,VH,3,A,34.2,241,6.2,501,10.6,601,39.2,333,8.5,601,20.3,527,25.8
Aalto University,134,140,Finland,L,FO,VH,1,A,9.8,501,3.8,501,72.6,180,20.1,554,18.5,566,13.3,601,24.5
Aarhus University,145,141,Denmark,L,FC,VH,4,A,19.1,437,10.2,501,67.2,207,24.2,489,86.5,185,58.3,243,34.3
Aberystwyth University,484,432,United Kingdom,M,CO,VH,5,A,25.2,328,37.2,254,7.6,601,62,133,91.3,159,56.7,255,35.2
Al-Farabi Kazakh National University,207,220,Kazakhstan,L,CO,HI,4,A,11,501,3.9,501,36.8,425,100,5,10.1,601,7.2,601,33.1
American University of Beirut (AUB),244,237,Lebanon,M,FC,VH,5,A,28.9,294,36,268,43.5,351,64.9,120,99.5,71,96.5,68,46.8
American University of Sharjah,371,376,United Arab Emirates,S,FC,HI,2,A,18,463,4.7,501,55.1,268,24.1,492,11.6,601,12.7,601,24.8
Amirkabir University of Technology,489,498,Iran,M,FO,VH,4,A,21.3,385,21.3,433,30.7,494,29.6,437,69.1,254,28.7,442,27.7
Arizona State University,215,212,United States,XL,CO,VH,5,A,39.4,206,38.5,247,77.9,153,43.4,295,71.1,247,11.6,601,48.2
Aston University,442,381,United Kingdom,L,CO,HI,4,B,5.9,501,7.8,501,100,14,19.6,562,7.4,601,16.2,582,28.3
Auckland University of Technology,442,464,New Zealand,L,CO,HI,2,A,31.2,265,15.5,501,35.5,440,14.7,601,5.9,601,2.2,601,24.6
Australian National University (ANU),29,24,Australia,L,FC,VH,4,A,35.3,235,33.2,288,49.7,306,32.2,416,11.4,601,7.6,601,34.9
Bandung Institute of Technology (ITB),331,359,Indonesia,L,CO,VH,4,A,30.2,279,26.3,356,30.9,491,26.9,457,70,251,12.8,601,30.5
Bauman Moscow State Technical University,284,299,Russia,L,CO,HI,5,A,51.2,151,19,485,66.1,213,24.1,494,45.1,358,26.6,462,44.2
Beihang University,462,491,China,L,CO,VH,4,A,30.1,281,13.1,501,19,601,37.1,364,12.4,601,57.2,252,28.1
Beijing Institute of Technology,436,464,China,L,FO,VH,4,,24.8,338,30.7,312,29,517,38.1,345,29.2,469,8.6,601,28.4
